algorithm,items_packed,running_time
density_based_hill_climber_error,87,1.1567580699920654
density_based_hill_climber_error,89,1.263444185256958
density_based_hill_climber_error,89,0.7189877033233643
density_based_hill_climber_error,89,1.3382949829101562
density_based_hill_climber_error,88,1.1623597145080566
density_based_hill_climber_error,86,1.070479154586792
density_based_hill_climber_error,87,0.8121840953826904
density_based_hill_climber_error,88,0.6106250286102295
density_based_hill_climber_error,86,1.0469722747802734
density_based_hill_climber_error,88,1.0395610332489014
density_based_hill_climber_error,88,1.3050918579101562
density_based_hill_climber_error,88,1.2671821117401123
density_based_hill_climber_error,86,0.7013087272644043
density_based_hill_climber_error,88,0.8619399070739746
density_based_hill_climber_error,87,0.8172121047973633
density_based_hill_climber_error,87,1.345278024673462
density_based_hill_climber_error,89,0.6267471313476562
density_based_hill_climber_error,87,1.0760631561279297
density_based_hill_climber_error,88,1.0624279975891113
density_based_hill_climber_error,89,1.42332124710083
density_based_hill_climber_error,90,1.6420490741729736
density_based_hill_climber_error,85,1.504183053970337
density_based_hill_climber_error,89,1.0727100372314453
density_based_hill_climber_error,86,0.6094498634338379
density_based_hill_climber_error,85,0.6045258045196533
density_based_hill_climber_error,89,1.0617070198059082
density_based_hill_climber_error,87,0.8244049549102783
density_based_hill_climber_error,87,1.262115716934204
density_based_hill_climber_error,86,1.7846977710723877
density_based_hill_climber_error,86,0.5665452480316162
density_based_hill_climber_error,89,1.0805208683013916
density_based_hill_climber_error,85,0.7456650733947754
density_based_hill_climber_error,89,0.8736751079559326
density_based_hill_climber_error,88,2.3339688777923584
density_based_hill_climber_error,88,0.658973217010498
density_based_hill_climber_error,87,0.46866679191589355
density_based_hill_climber_error,89,1.2104620933532715
density_based_hill_climber_error,87,1.4375739097595215
density_based_hill_climber_error,87,1.6749420166015625
density_based_hill_climber_error,89,1.649812936782837
density_based_hill_climber_error,89,1.0095562934875488
density_based_hill_climber_error,87,0.9038469791412354
density_based_hill_climber_error,86,0.8023779392242432
density_based_hill_climber_error,88,1.0207769870758057
density_based_hill_climber_error,89,0.4600391387939453
density_based_hill_climber_error,89,0.44237208366394043
density_based_hill_climber_error,90,1.1150598526000977
density_based_hill_climber_error,87,1.1136589050292969
density_based_hill_climber_error,85,0.8171179294586182
density_based_hill_climber_error,85,0.949599027633667
density_based_hill_climber_error,87,1.5205540657043457
density_based_hill_climber_error,86,1.1004951000213623
density_based_hill_climber_error,86,0.995366096496582
density_based_hill_climber_error,86,0.855748176574707
density_based_hill_climber_error,86,0.9246270656585693
density_based_hill_climber_error,87,1.5321989059448242
density_based_hill_climber_error,88,1.2533118724822998
density_based_hill_climber_error,87,0.9312000274658203
density_based_hill_climber_error,88,0.8079211711883545
density_based_hill_climber_error,89,0.7584149837493896
density_based_hill_climber_error,89,0.888045072555542
density_based_hill_climber_error,88,0.9098849296569824
density_based_hill_climber_error,88,1.2388591766357422
density_based_hill_climber_error,89,1.2748899459838867
density_based_hill_climber_error,86,1.479490041732788
density_based_hill_climber_error,89,1.7103259563446045
density_based_hill_climber_error,90,1.4930412769317627
density_based_hill_climber_error,86,1.070268154144287
density_based_hill_climber_error,88,2.096069812774658
density_based_hill_climber_error,85,1.0653150081634521
density_based_hill_climber_error,86,1.283186912536621
density_based_hill_climber_error,85,1.6561081409454346
density_based_hill_climber_error,88,1.1549439430236816
density_based_hill_climber_error,85,0.890192985534668
density_based_hill_climber_error,86,0.9937019348144531
density_based_hill_climber_error,87,0.9615631103515625
density_based_hill_climber_error,89,0.7893538475036621
density_based_hill_climber_error,85,0.9537637233734131
density_based_hill_climber_error,88,0.7053091526031494
density_based_hill_climber_error,88,0.8976812362670898
density_based_hill_climber_error,89,0.5823040008544922
density_based_hill_climber_error,89,0.6895480155944824
density_based_hill_climber_error,87,1.2651948928833008
density_based_hill_climber_error,89,0.6115210056304932
density_based_hill_climber_error,87,0.9466238021850586
