simulated annealing,1469267218,0.19267010688781738
hill climber,1469270189,0.0034089088439941406
greedy,1469266391,0.12797021865844727
simulated annealing,1469207290,0.2177419662475586
hill climber,1469207184,0.004513978958129883
greedy,1469207127,0.18545794486999512
simulated annealing,1468807001,0.358752965927124
hill climber,1468809702,0.007224082946777344
greedy,1468807548,0.3095591068267822
simulated annealing,1469147332,0.20581579208374023
hill climber,1469155293,0.003576993942260742
greedy,1469147162,0.15639925003051758
simulated annealing,1469195257,0.24974584579467773
hill climber,1469196197,0.005128145217895508
greedy,1469195542,0.21616315841674805
simulated annealing,1469242276,0.24027681350708008
hill climber,1469246461,0.002960205078125
greedy,1469242616,0.16554713249206543
simulated annealing,1469205880,0.16990971565246582
hill climber,1469206017,0.003222942352294922
greedy,1469207861,0.13784289360046387
simulated annealing,1469361367,0.139631986618042
hill climber,1469361367,0.0027887821197509766
greedy,1469361367,0.11113500595092773
simulated annealing,1468889689,0.3665609359741211
hill climber,1468890046,0.0063152313232421875
greedy,1468890452,0.47307801246643066
simulated annealing,1468710717,0.2781698703765869
hill climber,1468711231,0.005058765411376953
greedy,1468709905,0.19996213912963867
simulated annealing,1468948130,0.33483195304870605
hill climber,1468948582,0.006402015686035156
greedy,1468948119,0.3781089782714844
simulated annealing,1469092839,0.3540322780609131
hill climber,1469093683,0.006061077117919922
greedy,1469092782,0.30017900466918945
simulated annealing,1469339462,0.15159988403320312
hill climber,1469339462,0.002941131591796875
greedy,1469339224,0.11851167678833008
simulated annealing,1469119610,0.264279842376709
hill climber,1469120529,0.004598855972290039
greedy,1469119411,0.20662403106689453
simulated annealing,1469166874,0.18009495735168457
hill climber,1469166874,0.0033750534057617188
greedy,1469164659,0.1988527774810791
simulated annealing,1469047140,0.1822211742401123
hill climber,1469055229,0.003735065460205078
greedy,1469049010,0.2191600799560547
simulated annealing,1468817587,0.2691988945007324
hill climber,1468818931,0.0052869319915771484
greedy,1468819355,0.26256704330444336
simulated annealing,1469173227,0.3800790309906006
hill climber,1469173450,0.007046937942504883
greedy,1469173450,0.28166699409484863
simulated annealing,1469214795,0.17698001861572266
hill climber,1469221029,0.003072977066040039
greedy,1469216882,0.1994030475616455
simulated annealing,1469154174,0.36929774284362793
hill climber,1469155046,0.003958940505981445
greedy,1469154739,0.31082606315612793
simulated annealing,1469286068,0.2262248992919922
hill climber,1469289090,0.0035970211029052734
greedy,1469289203,0.14279913902282715
simulated annealing,1468971074,0.28571486473083496
hill climber,1468976323,0.00569605827331543
greedy,1468970877,0.270587682723999
simulated annealing,1469307849,0.1670818328857422
hill climber,1469307849,0.004101753234863281
greedy,1469307849,0.11540722846984863
simulated annealing,1469144242,0.17637896537780762
hill climber,1469145431,0.005044221878051758
greedy,1469143798,0.28674888610839844
simulated annealing,1469272105,0.144547700881958
hill climber,1469272105,0.002933025360107422
greedy,1469272105,0.12166404724121094
simulated annealing,1469001030,0.167435884475708
hill climber,1469002540,0.0044689178466796875
greedy,1469000435,0.20975422859191895
simulated annealing,1469273899,0.1854720115661621
hill climber,1469275053,0.0035321712493896484
greedy,1469275053,0.15532898902893066
simulated annealing,1469248385,0.19510912895202637
hill climber,1469251427,0.003532886505126953
greedy,1469244564,0.19659805297851562
simulated annealing,1469185586,0.21970772743225098
hill climber,1469186304,0.004377126693725586
greedy,1469184788,0.17763805389404297
simulated annealing,1469340074,0.17826008796691895
hill climber,1469340416,0.003589153289794922
greedy,1469340444,0.16320586204528809
simulated annealing,1469230232,0.16565608978271484
hill climber,1469231553,0.004558086395263672
greedy,1469229168,0.18018579483032227
simulated annealing,1469080686,0.2978949546813965
hill climber,1469080615,0.011003971099853516
greedy,1469080582,0.3060462474822998
simulated annealing,1469340565,0.17192697525024414
hill climber,1469345160,0.0034651756286621094
greedy,1469342235,0.15476512908935547
simulated annealing,1468882207,0.3369007110595703
hill climber,1468884408,0.005934953689575195
greedy,1468881808,0.28328490257263184
simulated annealing,1469109764,0.2806098461151123
hill climber,1469111498,0.00696873664855957
greedy,1469109929,0.33556103706359863
simulated annealing,1469185744,0.21994280815124512
hill climber,1469187713,0.003408193588256836
greedy,1469186329,0.2705857753753662
simulated annealing,1469170383,0.21155381202697754
hill climber,1469176403,0.0032558441162109375
greedy,1469170619,0.1793210506439209
simulated annealing,1468775215,0.3230106830596924
hill climber,1468775648,0.006638050079345703
greedy,1468775596,0.264056921005249
simulated annealing,1469157937,0.2301788330078125
hill climber,1469162065,0.004296064376831055
greedy,1469157869,0.18727397918701172
simulated annealing,1468891877,0.23038220405578613
hill climber,1468896283,0.0033380985260009766
greedy,1468890335,0.26813220977783203
simulated annealing,1469166408,0.3153231143951416
hill climber,1469166669,0.006814002990722656
greedy,1469166898,0.28116393089294434
simulated annealing,1469228471,0.20581817626953125
hill climber,1469225976,0.0033731460571289062
greedy,1469224002,0.23434805870056152
simulated annealing,1469294703,0.1587052345275879
hill climber,1469294703,0.0027382373809814453
greedy,1469294703,0.12057185173034668
simulated annealing,1469257826,0.24234580993652344
hill climber,1469258955,0.004848003387451172
greedy,1469258259,0.23890113830566406
simulated annealing,1469289015,0.19047188758850098
hill climber,1469289015,0.0032019615173339844
greedy,1469283315,0.22832608222961426
simulated annealing,1469337279,0.18536996841430664
hill climber,1469337620,0.003818035125732422
greedy,1469337249,0.1574101448059082
simulated annealing,1469062541,0.18361616134643555
hill climber,1469062541,0.0033440589904785156
greedy,1469061069,0.14150500297546387
simulated annealing,1469258532,0.24824905395507812
hill climber,1469259682,0.00678706169128418
greedy,1469259682,0.19679498672485352
